
Timeout                                  :5
Think Time                               :4
Number of Requests                       :300
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.75
Round Robin Quantum Time                 :0.3
Interarrival Mean Time                   :0.05
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
0.04562					43.00000				Departure				44				Client Station				Web Server				
0.04868					15.00000				Departure				45				Client Station				Web Server				
0.04904					58.00000				Departure				46				Client Station				Web Server				
0.04973					14.00000				Departure				47				Client Station				Web Server				
0.04999					42.00000				Departure				48				Client Station				Web Server				
0.12857				44.00000				Departure				0				Web Server				DBMS Server				
0.13606				34.00000				Departure				NA				Web Server				Client Station				
0.13606				6.00000				Departure				NA				Web Server				Client Station				
0.13606				35.00000				Departure				NA				Web Server				Client Station				
0.13606				45.00000				Departure				0				Web Server				DBMS Server				
0.16166				44.00000				Arrival					45				DBMS Server				Web Server				
0.26285				44.00000				Departure				0				Web Server				DBMS Server				
0.28844				44.00000				Arrival					45				DBMS Server				Web Server				
0.30178				47.00000				Scheduling				45				Web Server				Web Server				
0.30178				40.00000				Scheduling				45				Web Server				Web Server				
0.30178				0.00000				Scheduling				45				Web Server				Web Server				
0.30178				30.00000				Departure				0				Web Server				DBMS Server				
0.30178				36.00000				Departure				NA				Web Server				Client Station				
0.30178				24.00000				Scheduling				44				Web Server				Web Server				
0.30178				23.00000				Departure				0				Web Server				DBMS Server				
0.30178				13.00000				Scheduling				44				Web Server				Web Server				
0.30178				26.00000				Departure				1				Web Server				DBMS Server				
0.30178				19.00000				Departure				2				Web Server				DBMS Server				
0.30178				7.00000				Departure				3				Web Server				DBMS Server				
0.33487				26.00000				Arrival					44				DBMS Server				Web Server				
0.33487				19.00000				Arrival					44				DBMS Server				Web Server				
0.33487				7.00000				Arrival					44				DBMS Server				Web Server				
0.38871				26.00000				Departure				NA				Web Server				Client Station				
0.38871				17.00000				Departure				NA				Web Server				Client Station				
0.38871				37.00000				Departure				1				Web Server				DBMS Server				
0.38963				44.00000				Departure				NA				Web Server				Client Station				
0.38963				57.00000				Departure				2				Web Server				DBMS Server				
0.42048				12.00000				Arrival					41				DBMS Server				Web Server				
0.42048				37.00000				Arrival					41				DBMS Server				Web Server				
0.42048				57.00000				Arrival					41				DBMS Server				Web Server				
0.60178				19.00000				Scheduling				41				Web Server				Web Server				
0.60178				7.00000				Scheduling				41				Web Server				Web Server				
0.60178				25.00000				Departure				NA				Web Server				Client Station				
0.60178				39.00000				Departure				NA				Web Server				Client Station				
0.60178				21.00000				Departure				0				Web Server				DBMS Server				
0.60178				52.00000				Departure				NA				Web Server				Client Station				
